instance,|V|,|A|,|B|,T,Components,ComponentsSelection,Profits,Algorithm,%numVisitedBlocks,%numVisitedBlocksNodes,%repeatedArcs,%repeatedNodes,%tourTotalMinutes,%blocksTotalMinutes,%tourMinutes,%blocksMinutes
12,107,11342,15,120,single,random,unitary,BRKGA,100.0,18.115942028985508,0.0,5.072463768115942,5.7700000000000005,28.12,17.025671289465922,82.97432871053408
13,116,13340,15,120,single,random,unitary,BRKGA,100.0,35.333333333333336,0.0,2.6666666666666665,6.12625,24.305,20.1314438283015,79.8685561716985
14,96,9120,15,120,single,random,unitary,BRKGA,100.0,20.12578616352201,0.0,1.8867924528301887,7.29125,28.999999999999996,20.090931009540867,79.90906899045913
15,107,11342,15,120,single,random,unitary,BRKGA,100.0,28.387096774193548,1.2987012987012987,2.5806451612903225,7.52625,32.715,18.7028235951915,81.2971764048085
16,222,49062,20,120,single,random,unitary,BRKGA,100.0,34.09090909090909,0.0,10.227272727272727,8.59625,46.489999999999995,15.605073861444552,84.39492613855543
17,163,26406,20,120,single,random,unitary,BRKGA,100.0,37.5,1.092896174863388,10.326086956521738,7.685,39.765,16.195995785036878,83.80400421496311
18,223,49506,20,120,single,random,unitary,BRKGA,100.0,30.28846153846154,0.0,8.173076923076923,9.682500000000001,41.295,18.993673679564516,81.00632632043549
19,146,21170,20,120,single,random,unitary,BRKGA,100.0,28.021978021978022,4.972375690607735,7.6923076923076925,8.46375,46.865,15.297200822357274,84.70279917764273
20,165,27060,20,120,single,random,unitary,BRKGA,100.0,30.72289156626506,0.0,4.216867469879518,8.12875,42.894999999999996,15.93130649942429,84.0686935005757
21,216,46440,25,120,single,random,unitary,BRKGA,100.0,23.076923076923077,0.0,11.057692307692308,9.60375,54.19500000000001,15.05319461588197,84.94680538411802
22,225,50400,25,120,single,random,unitary,BRKGA,100.0,57.97872340425532,0.0,15.957446808510639,8.5375,65.61999999999999,11.512658867949972,88.48734113205002
23,203,41006,25,120,single,random,unitary,BRKGA,100.0,26.785714285714285,0.8968609865470852,8.035714285714286,9.35,50.475,15.628917676556622,84.37108232344337
24,264,69432,25,120,single,random,unitary,BRKGA,100.0,42.61363636363637,0.0,3.977272727272727,8.425,61.47,12.053794978181559,87.94620502181844
25,236,55460,25,120,single,random,unitary,BRKGA,100.0,31.5,0.0,6.0,8.76875,57.245000000000005,13.283217511503286,86.71678248849672
26,214,45582,30,120,single,random,unitary,BRKGA,100.0,31.28205128205128,0.0,6.666666666666667,9.476249999999999,61.129999999999995,13.421262282021775,86.57873771797823
27,266,70490,30,120,single,random,unitary,BRKGA,100.0,56.85279187817259,1.0204081632653061,17.766497461928935,9.72125,66.68,12.723941034996155,87.27605896500386
28,236,55460,30,120,single,random,unitary,BRKGA,100.0,42.21311475409836,1.646090534979424,9.01639344262295,11.6575,68.11,14.614347948725985,85.38565205127401
29,235,54990,30,120,single,random,unitary,BRKGA,100.0,41.55251141552512,0.0,10.95890410958904,10.417499999999999,63.294999999999995,14.13260980159403,85.86739019840597
30,266,70490,30,120,single,random,unitary,BRKGA,100.0,41.37931034482759,4.329004329004329,12.931034482758621,10.575,71.36,12.906572282907183,87.09342771709282
31,240,57360,35,120,single,random,unitary,BRKGA,100.0,35.91836734693877,4.508196721311475,6.938775510204081,10.567499999999999,70.845,12.980193459235375,87.01980654076463
32,287,82082,35,120,single,random,unitary,BRKGA,100.0,40.182648401826484,0.9174311926605505,13.242009132420092,10.092500000000001,64.72,13.490392648287386,86.50960735171262
33,313,97656,35,120,single,random,unitary,BRKGA,100.0,49.14529914529915,3.004291845493562,11.965811965811966,10.426250000000001,87.425,10.655203689273261,89.34479631072675
34,263,68906,35,120,single,random,unitary,BRKGA,100.0,42.028985507246375,3.3980582524271843,10.144927536231885,10.4975,75.78,12.167135116339718,87.83286488366028
35,269,72092,35,120,single,random,unitary,BRKGA,100.0,49.59349593495935,0.40816326530612246,10.56910569105691,11.0625,86.38000000000001,11.352849116145418,88.64715088385458
36,345,118680,40,120,single,random,unitary,BRKGA,97.5,54.492753623188406,5.523255813953488,18.26086956521739,14.7425,84.975,14.784265550179255,85.21573444982074
37,287,82082,40,120,single,random,unitary,BRKGA,97.5,41.15384615384615,0.3861003861003861,9.615384615384615,13.511249999999999,85.28,13.676565485303607,86.3234345146964
38,374,139502,40,120,single,random,unitary,BRKGA,97.5,50.199203187250994,2.8,15.936254980079681,11.5825,86.46499999999999,11.813151788673856,88.18684821132614
39,356,126380,40,120,single,random,unitary,BRKGA,100.0,59.375,0.0,1.3392857142857142,10.6775,86.78999999999999,10.954933695847334,89.04506630415266
40,269,72092,40,120,single,random,unitary,BRKGA,92.5,50.638297872340424,3.4188034188034186,20.851063829787233,11.06875,87.74,11.20219616177717,88.79780383822283
41,356,126380,45,120,single,random,unitary,BRKGA,93.33333333333333,40.445859872611464,0.9584664536741214,14.012738853503185,14.42625,84.93,14.51972070201925,85.48027929798076
42,367,134322,45,120,single,random,unitary,BRKGA,97.77777777777777,53.333333333333336,0.0,12.549019607843137,10.65125,86.10999999999999,11.00776395509566,88.99223604490435
43,408,166056,45,120,single,random,unitary,BRKGA,93.33333333333333,45.26315789473684,4.225352112676056,12.280701754385966,14.16125,84.77,14.314233369132605,85.68576663086739
44,335,111890,45,120,single,random,unitary,BRKGA,97.77777777777777,50.80906148867314,3.2467532467532467,10.679611650485437,14.3025,85.16,14.3797913786603,85.6202086213397
45,392,153272,45,120,single,random,unitary,BRKGA,93.33333333333333,43.25259515570934,2.7777777777777777,14.53287197231834,14.84625,84.83,14.89447084937485,85.10552915062515
46,376,141000,50,120,single,random,unitary,BRKGA,94.0,44.20062695924765,2.830188679245283,16.927899686520377,14.30875,85.395,14.35126562441232,85.64873437558767
47,372,138012,50,120,single,random,unitary,BRKGA,90.0,42.08955223880597,0.8982035928143712,15.82089552238806,14.6875,85.305,14.688601645123384,85.31139835487662
48,357,127092,50,120,single,random,unitary,BRKGA,92.0,48.1981981981982,1.8099547511312217,12.612612612612613,10.5125,89.065,10.557103763400367,89.44289623659964
49,359,128522,50,120,single,random,unitary,BRKGA,88.0,57.534246575342465,0.0,11.415525114155251,12.296249999999999,85.73,12.543833922036189,87.45616607796381
50,460,211140,50,120,single,random,unitary,BRKGA,82.0,49.853372434017594,8.823529411764707,28.1524926686217,14.90125,85.095,14.901808817830666,85.09819118216933
51,427,181902,55,120,single,random,unitary,BRKGA,87.27272727272727,64.19213973799127,3.508771929824561,9.170305676855895,10.280000000000001,89.705,10.2815422313347,89.7184577686653
52,329,107912,55,120,single,random,unitary,BRKGA,87.27272727272727,45.703125,0.0,11.71875,11.51,88.25,11.537690457097034,88.46230954290297
53,408,166056,55,120,single,random,unitary,BRKGA,87.27272727272727,51.95729537366548,0.35714285714285715,9.252669039145907,13.13625,86.36500000000001,13.202095451062174,86.79790454893784
54,427,181902,55,120,single,random,unitary,BRKGA,87.27272727272727,65.74803149606299,0.3952569169960474,11.023622047244094,11.348749999999999,88.2,11.40019337259383,88.59980662740617
55,402,161202,55,120,single,random,unitary,BRKGA,83.63636363636364,46.83098591549296,8.12720848056537,17.253521126760564,12.3625,87.375,12.395036972051635,87.60496302794836
56,479,228962,60,120,single,random,unitary,BRKGA,80.0,64.2156862745098,0.49261083743842365,11.27450980392157,9.96625,89.975,9.972108613810613,90.02789138618938
57,450,202050,60,120,single,random,unitary,BRKGA,81.66666666666667,53.55648535564853,0.8403361344537815,6.694560669456067,12.45875,87.395,12.476997609003167,87.52300239099682
58,446,198470,60,120,single,random,unitary,BRKGA,76.66666666666667,55.27426160337553,0.847457627118644,13.50210970464135,10.379999999999999,89.11999999999999,10.4321608040201,89.56783919597989
59,482,231842,60,120,single,random,unitary,BRKGA,78.33333333333333,41.693811074918564,1.3071895424836601,21.172638436482085,15.532499999999999,83.925,15.61722343714652,84.3827765628535
60,458,209306,60,120,single,random,unitary,BRKGA,85.0,62.01550387596899,4.280155642023346,10.077519379844961,12.075,87.36999999999999,12.142390265976168,87.85760973402384
61,495,244530,65,120,single,random,unitary,BRKGA,72.3076923076923,60.09852216748769,0.9900990099009901,11.330049261083744,9.901250000000001,89.64,9.94688131804654,90.05311868195345
62,533,283556,65,120,single,random,unitary,BRKGA,73.84615384615384,43.67088607594937,6.666666666666667,15.822784810126583,15.2575,84.695,15.26475075660939,84.73524924339061
63,450,202050,65,120,single,random,unitary,BRKGA,72.3076923076923,60.16260162601626,1.6326530612244898,15.853658536585366,10.25375,89.595,10.269282289462813,89.73071771053718
64,528,278256,65,120,single,random,unitary,BRKGA,75.38461538461539,57.014925373134325,4.191616766467066,19.70149253731343,15.05875,84.685,15.097437182780876,84.90256281721913
65,502,251502,65,120,single,random,unitary,BRKGA,73.84615384615384,58.46774193548387,1.214574898785425,8.46774193548387,11.7475,88.17,11.75719968974404,88.24280031025596
66,452,203852,70,120,single,random,unitary,BRKGA,77.14285714285714,47.857142857142854,5.376344086021505,25.0,15.37375,84.49000000000001,15.394725313239288,84.60527468676072
67,477,227052,70,120,single,random,unitary,BRKGA,70.0,64.70588235294117,0.9090909090909091,11.312217194570136,11.185,88.525,11.21753083943436,88.78246916056564
68,485,234740,70,120,single,random,unitary,BRKGA,77.14285714285714,45.66326530612245,3.836317135549872,22.193877551020407,14.956250000000002,84.95,14.970284641851737,85.02971535814827
69,532,282492,70,120,single,random,unitary,BRKGA,71.42857142857143,50.91575091575091,3.676470588235294,13.553113553113553,12.55,87.35999999999999,12.561305174657193,87.43869482534281
70,532,282492,70,120,single,random,unitary,BRKGA,70.0,59.38566552901024,1.0273972602739727,19.112627986348123,13.10375,86.19,13.196953483980613,86.80304651601938
71,567,320922,75,120,single,random,unitary,BRKGA,68.0,52.472527472527474,4.132231404958677,20.604395604395606,14.332500000000001,85.635,14.337159576862481,85.66284042313752
72,524,274052,75,120,single,random,unitary,BRKGA,69.33333333333333,53.760445682451255,5.027932960893855,18.384401114206128,14.046249999999999,85.935,14.048884165781084,85.95111583421892
73,583,339306,75,120,single,random,unitary,BRKGA,68.0,57.95148247978437,4.324324324324325,22.371967654986523,14.957500000000001,84.92,14.97584541062802,85.02415458937197
74,598,357006,75,120,single,random,unitary,BRKGA,70.66666666666667,67.96536796536796,1.7391304347826086,11.255411255411255,10.1625,89.76,10.170382046085715,89.82961795391428
75,552,304152,75,120,single,random,unitary,BRKGA,66.66666666666667,65.84362139917695,2.8925619834710745,10.699588477366255,10.6225,89.325,10.628079741864479,89.37192025813552
76,601,360600,80,120,single,random,unitary,BRKGA,62.5,55.98802395209581,2.4024024024024024,19.161676646706585,12.865,87.035,12.877877877877879,87.12212212212212
