instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs
22,330,108570,25,120.0,SOL-STATS,25.0,26025.0,39.037499999999994,11717.0,70.30199999999999,25,111,758,64,0
23,257,65792,25,120.0,SOL-STATS,25.0,32678.0,49.01700000000001,11077.0,66.462,25,69,815,46,0
24,282,79242,25,120.0,SOL-STATS,25.0,28024.0,42.036,12634.0,75.80400000000002,25,62,737,60,1
25,247,60762,25,120.0,SOL-STATS,25.0,25836.0,38.754000000000005,10671.0,64.026,25,76,706,25,0
26,343,117306,30,120.0,SOL-STATS,28.0,26921.0,40.3815,13268.0,79.608,28,112,782,29,4
27,285,80940,30,120.0,SOL-STATS,29.0,26788.0,40.182,12298.0,73.78799999999998,29,76,751,74,0
28,320,102080,30,120.0,SOL-STATS,29.0,33257.0,49.88549999999999,11564.0,69.384,29,70,916,129,18
29,612,373932,30,120.0,SOL-STATS,28.0,30762.0,46.143,12264.0,73.584,28,89,839,50,27
2,55,2970,5,120.0,SOL-STATS,5.0,10304.0,15.456000000000003,2657.0,15.942,5,8,265,27,0
30,297,87912,30,120.0,SOL-STATS,30.0,30172.0,45.25800000000001,11476.0,68.856,30,76,825,98,0
31,374,139502,35,120.0,SOL-STATS,30.0,18907.0,28.360500000000002,13484.0,80.904,30,100,520,35,7
32,349,121452,35,120.0,SOL-STATS,31.0,26818.0,40.227000000000004,13089.0,78.53400000000002,31,71,804,66,12
33,340,115260,35,120.0,SOL-STATS,32.0,25978.0,38.967,13369.0,80.21400000000003,32,91,734,37,9
34,626,391250,35,120.0,SOL-STATS,31.0,20566.0,30.849000000000004,14784.0,88.70400000000002,31,108,554,74,11
35,279,77562,35,120.0,SOL-STATS,33.0,21559.0,32.33850000000001,13735.0,82.41,33,77,513,35,4
36,397,157212,40,120.0,SOL-STATS,35.0,26691.0,40.036500000000004,13294.0,79.764,35,105,711,143,13
37,510,259590,40,120.0,SOL-STATS,31.0,22531.0,33.79650000000001,14219.0,85.314,31,110,552,74,2
38,488,237656,40,120.0,SOL-STATS,34.0,36017.0,54.02550000000001,10956.0,65.736,34,109,977,249,45
39,422,177662,40,120.0,SOL-STATS,34.0,19546.0,29.319000000000003,15063.0,90.37799999999999,34,91,502,79,1
3,45,1980,5,120.0,SOL-STATS,5.0,19440.0,29.160000000000004,1338.0,8.028,5,8,589,22,0
40,439,192282,40,120.0,SOL-STATS,32.0,21219.0,31.828500000000005,12779.0,76.674,32,94,597,50,0
41,438,191406,45,120.0,SOL-STATS,36.0,22455.0,33.682500000000005,14019.0,84.114,36,112,765,118,7
42,385,147840,45,120.0,SOL-STATS,37.0,21427.0,32.1405,14505.0,87.03,37,81,593,32,0
43,380,144020,45,120.0,SOL-STATS,34.0,14730.0,22.095,16130.0,96.78,34,141,393,63,2
44,505,254520,45,120.0,SOL-STATS,35.0,19173.0,28.759500000000003,15203.0,91.21800000000002,35,101,554,21,0
45,533,283556,45,120.0,SOL-STATS,32.0,18776.0,28.164,15295.0,91.77000000000002,32,132,479,32,6
46,764,582932,50,120.0,SOL-STATS,35.0,25924.0,38.885999999999996,13486.0,80.916,35,172,868,167,16
47,452,203852,50,120.0,SOL-STATS,40.0,16685.0,25.027500000000003,15733.0,94.39800000000002,40,171,438,93,53
48,777,602952,50,120.0,SOL-STATS,39.0,24296.0,36.444,13623.0,81.73800000000001,39,128,603,123,20
49,416,172640,50,120.0,SOL-STATS,39.0,19856.0,29.784000000000006,14885.0,89.30999999999999,39,136,545,27,0
