instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs
40,269,72092,40,120.0,SOL-STATS,145.0,29418.0,44.126999999999995,14927.0,89.56200000000003,33,363,552,133,63
41,356,126380,45,120.0,SOL-STATS,150.0,35985.0,53.97749999999999,14045.0,84.27000000000001,35,421,900,218,158
42,367,134322,45,120.0,SOL-STATS,173.0,28569.0,42.8535,16446.0,98.67599999999999,42,608,769,176,100
43,408,166056,45,120.0,SOL-STATS,101.0,58844.0,88.26600000000002,6966.0,41.79599999999999,21,523,1487,388,405
44,335,111890,45,120.0,SOL-STATS,155.0,38159.0,57.238500000000016,12898.0,77.388,36,609,977,235,191
45,392,153272,45,120.0,SOL-STATS,135.0,30372.0,45.55800000000001,14648.0,87.88800000000002,33,526,705,208,102
46,376,141000,50,120.0,SOL-STATS,140.0,42721.0,64.0815,12070.0,72.42000000000002,36,517,1120,303,247
47,372,138012,50,120.0,SOL-STATS,121.0,51509.0,77.26350000000002,8853.0,53.118,25,472,1235,299,250
48,357,127092,50,120.0,SOL-STATS,166.0,41115.0,61.672500000000014,12116.0,72.696,33,595,1140,313,239
49,359,128522,50,120.0,SOL-STATS,153.0,38816.0,58.22399999999999,13072.0,78.43200000000002,33,563,985,249,221
4,25,600,5,120.0,SOL-STATS,14.0,6394.0,9.591000000000001,2405.0,14.43,5,53,95,29,14
50,460,211140,50,120.0,SOL-STATS,10.0,924.0,1.3860000000000001,802.0,4.812,2,27,29,4,0
51,427,181902,55,120.0,SOL-STATS,8.0,887.0,1.3305000000000007,1910.0,11.46,4,14,14,2,0
52,329,107912,55,120.0,SOL-STATS,149.0,44436.0,66.654,11248.0,67.488,32,421,1187,311,286
53,408,166056,55,120.0,SOL-STATS,153.0,50123.0,75.18449999999999,10087.0,60.521999999999984,30,562,1285,308,288
54,427,181902,55,120.0,SOL-STATS,24.0,747.0,1.1204999999999998,1870.0,11.22,5,23,23,6,0
55,402,161202,55,120.0,SOL-STATS,135.0,45817.0,68.72550000000001,10909.0,65.45400000000001,31,536,1253,308,284
56,479,228962,60,120.0,SOL-STATS,161.0,40501.0,60.75149999999999,12911.0,77.46600000000001,36,521,1086,274,214
57,450,202050,60,120.0,SOL-STATS,142.0,52643.0,78.9645,9404.0,56.42399999999999,26,480,1170,269,272
58,446,198470,60,120.0,SOL-STATS,42.0,4928.0,7.3919999999999995,3256.0,19.536,8,89,130,40,21
59,482,231842,60,120.0,SOL-STATS,148.0,47860.0,71.78999999999999,10687.0,64.12199999999999,30,455,1216,334,239
5,50,2450,5,120.0,SOL-STATS,25.0,7744.0,11.616,1723.0,10.338000000000001,5,62,190,46,6
60,458,209306,60,120.0,SOL-STATS,180.0,40654.0,60.980999999999995,13104.0,78.62400000000002,39,540,1141,295,226
61,495,244530,65,120.0,SOL-STATS,5.0,116.0,0.17400000000000038,667.0,4.002,2,13,13,1,0
62,533,283556,65,120.0,SOL-STATS,26.0,1674.0,2.5109999999999992,2783.0,16.698,5,43,43,5,0
63,450,202050,65,120.0,SOL-STATS,146.0,45263.0,67.8945,11546.0,69.27600000000001,30,362,1103,278,217
64,528,278256,65,120.0,SOL-STATS,5.0,233.0,0.3494999999999999,233.0,1.3980000000000001,1,14,14,1,0
65,502,251502,65,120.0,SOL-STATS,18.0,509.0,0.7634999999999996,894.0,5.364,3,18,18,3,0
66,452,203852,70,120.0,SOL-STATS,178.0,48436.0,72.654,10867.0,65.202,38,625,1260,303,295
67,477,227052,70,120.0,SOL-STATS,127.0,61090.0,91.63499999999999,6960.0,41.76000000000001,24,308,1400,362,317
68,485,234740,70,120.0,SOL-STATS,166.0,49147.0,73.72049999999999,10253.0,61.518,34,493,1296,317,300
69,532,282492,70,120.0,SOL-STATS,18.0,393.0,0.5894999999999992,1929.0,11.574000000000002,4,14,14,1,0
6,114,12882,10,120.0,SOL-STATS,37.0,18236.0,27.354,5778.0,34.668000000000006,10,308,498,136,111
70,532,282492,70,120.0,SOL-STATS,4.0,233.0,0.3494999999999999,233.0,1.3980000000000001,1,14,14,1,0
71,567,320922,75,120.0,SOL-STATS,26.0,872.0,1.3079999999999998,2774.0,16.644000000000002,6,31,31,1,0
72,524,274052,75,120.0,SOL-STATS,56.0,5708.0,8.561999999999998,7836.0,47.016000000000005,15,73,81,15,8
73,583,339306,75,120.0,SOL-STATS,8.0,489.0,0.7335000000000003,979.0,5.8740000000000006,2,13,13,1,0
74,598,357006,75,120.0,SOL-STATS,12.0,719.0,1.0785,719.0,4.314,2,11,11,2,0
75,552,304152,75,120.0,SOL-STATS,7.0,744.0,1.1159999999999997,744.0,4.464,1,5,5,1,0
76,601,360600,80,120.0,SOL-STATS,150.0,52703.0,79.05450000000002,9167.0,55.00200000000001,28,455,1315,317,276
77,598,357006,80,120.0,SOL-STATS,18.0,2751.0,4.1265,3360.0,20.16,5,76,76,17,1
78,593,351056,80,120.0,SOL-STATS,10.0,173.0,0.25950000000000006,718.0,4.308,2,13,13,1,0
79,542,293222,80,120.0,SOL-STATS,6.0,436.0,0.6539999999999999,946.0,5.676,2,11,11,1,0
7,65,4160,10,120.0,SOL-STATS,37.0,14404.0,21.606,4460.0,26.760000000000005,10,142,266,85,37
80,598,357006,80,120.0,SOL-STATS,161.0,50885.0,76.32750000000001,9601.0,57.60600000000002,29,457,1294,312,270
8,80,6320,10,120.0,SOL-STATS,38.0,16544.0,24.816,4492.0,26.952,10,168,424,132,116
9,70,4830,10,120.0,SOL-STATS,36.0,11553.0,17.329499999999996,4381.0,26.286,10,119,292,83,31
10,125,15500,10,120.0,SOL-STATS,37.0,54505.0,81.75750000000001,6127.0,36.762,10,248,1428,327,192
11,155,23870,15,120.0,SOL-STATS,63.0,53399.0,80.0985,6596.0,39.57600000000001,14,264,1400,407,80
12,138,18906,15,120.0,SOL-STATS,59.0,53702.0,80.55300000000001,7202.0,43.212,15,307,1503,551,191
13,256,65280,15,120.0,SOL-STATS,62.0,56608.0,84.912,6995.0,41.97,14,474,1919,396,350
14,257,65792,15,120.0,SOL-STATS,65.0,58522.0,87.78299999999999,5823.0,34.93800000000001,12,335,1690,432,294
15,170,28730,15,120.0,SOL-STATS,60.0,55858.0,83.787,6069.0,36.414,15,341,1552,419,107
16,200,39800,20,120.0,SOL-STATS,88.0,53976.0,80.964,6820.0,40.92,20,359,1580,431,197
17,215,46010,20,120.0,SOL-STATS,80.0,49158.0,73.73700000000001,7481.0,44.885999999999996,20,425,1351,356,131
18,158,24806,20,120.0,SOL-STATS,87.0,50064.0,75.096,8913.0,53.47800000000001,19,295,1330,339,103
19,192,36672,20,120.0,SOL-STATS,74.0,48284.0,72.42600000000002,9625.0,57.75000000000001,19,348,1254,272,79
1,25,600,5,120.0,SOL-STATS,15.0,14812.0,22.218,1207.0,7.242,5,39,403,57,1
20,169,28392,20,120.0,SOL-STATS,74.0,47290.0,70.935,8322.0,49.93200000000001,20,305,1216,249,89
21,228,51756,25,120.0,SOL-STATS,94.0,47127.0,70.6905,9919.0,59.513999999999996,23,334,1245,207,49
22,330,108570,25,120.0,SOL-STATS,100.0,46741.0,70.11150000000002,9908.0,59.44799999999999,24,441,1233,211,85
23,257,65792,25,120.0,SOL-STATS,99.0,48168.0,72.25200000000001,9628.0,57.768,23,336,1272,229,56
24,282,79242,25,120.0,SOL-STATS,94.0,53716.0,80.57400000000001,7733.0,46.398,18,330,1375,260,196
25,247,60762,25,120.0,SOL-STATS,97.0,47519.0,71.27850000000001,9780.0,58.68,23,435,1281,265,155
26,343,117306,30,120.0,SOL-STATS,121.0,45583.0,68.37449999999998,10444.0,62.66400000000001,23,443,1124,224,175
27,285,80940,30,120.0,SOL-STATS,123.0,35878.0,53.81700000000001,11897.0,71.382,28,427,951,192,111
28,320,102080,30,120.0,SOL-STATS,115.0,51049.0,76.57350000000002,9510.0,57.06,25,327,1441,251,74
29,612,373932,30,120.0,SOL-STATS,83.0,49855.0,74.7825,8484.0,50.904,18,344,1249,315,184
2,55,2970,5,120.0,SOL-STATS,19.0,21996.0,32.994,2657.0,15.942,5,76,590,236,73
