budget_bin,mean_gap,std_gap,gap_lo,gap_hi
235.0,0.009033783787073868,0.0065367316839286555,0.0024970521031452125,0.015570515471002523
240.0,0.009674064872525895,0.005619897700694005,0.00405416717183189,0.0152939625732199
245.0,0.009050108001498698,0.005778194549436885,0.003271913452061813,0.014828302550935583
250.0,0.008811344499671346,0.0060325255579561044,0.002778818941715242,0.01484387005762745
255.0,0.00999265838056018,0.0052907025872029985,0.004701955793357182,0.015283360967763178
260.0,0.009147168053727428,0.0054239607558427775,0.00372320729788465,0.014571128809570205
265.0,0.008746607944995061,0.005483187230309547,0.0032634207146855143,0.014229795175304608
270.0,0.008215063490552859,0.005855564003060901,0.0023594994874919575,0.01407062749361376
275.0,0.008867502195326712,0.004788500684216064,0.004079001511110648,0.013656002879542776
280.0,0.008492616401176455,0.004604385812583269,0.003888230588593186,0.013097002213759723
285.0,0.008020845332946808,0.004722950930677245,0.0032978944022695623,0.012743796263624053
290.0,0.009700912776295721,0.0022578616472941375,0.007443051129001584,0.01195877442358986
295.0,0.00922456723446425,0.002332920440341086,0.0068916467941231635,0.011557487674805335
300.0,0.008893394240387344,0.0019219470879299186,0.0069714471524574256,0.010815341328317263
305.0,0.00860294252097574,0.0021413802631841737,0.006461562257791566,0.010744322784159915
310.0,0.008086722424262073,0.002274265114174381,0.005812457310087692,0.010360987538436454
315.0,0.007770685444544228,0.0020570763292969726,0.005713609115247256,0.0098277617738412
320.0,0.007389411446140834,0.002012782604898567,0.0053766288412422664,0.009402194051039401
325.0,0.006857450309631252,0.00201004273176164,0.004847407577869612,0.008867493041392893
330.0,0.00655283083977207,0.0022138963998218912,0.00433893443995018,0.008766727239593961
335.0,0.0061285802934929485,0.0016401711308018537,0.004488409162691095,0.007768751424294802
340.0,0.006277796747356509,0.0021271221888202944,0.004150674558536214,0.008404918936176804
345.0,0.005810427778420867,0.0022220344100943243,0.0035883933683265425,0.00803246218851519
350.0,0.00524872461757684,0.0022607380161425803,0.00298798660143426,0.00750946263371942
355.0,0.0050263236409862026,0.0017770261936682042,0.0032492974473179986,0.0068033498346544066
360.0,0.0048713501056932475,0.002109075626903402,0.0027622744787898453,0.00698042573259665
365.0,0.004289433844114133,0.001835024509981563,0.00245440933413257,0.0061244583540956965
370.0,0.004351599198219624,0.002273828659180172,0.002077770539039452,0.006625427857399797
375.0,0.0035771347196995188,0.0015403658008709613,0.0020367689188285575,0.00511750052057048
380.0,0.003585996445867411,0.002203774787477292,0.0013822216583901188,0.005789771233344703
385.0,0.003123153579656061,0.0019871977218720964,0.0011359558577839646,0.005110351301528157
390.0,0.002923522813363765,0.0019551459687660376,0.0009683768445977272,0.004878668782129803
