instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs
74,598,357006,75,120.0,SOL-STATS,19.0,13120.0,19.679999999999993,8873.0,53.238000000000014,19,429,447,123,104
75,552,304152,75,120.0,SOL-STATS,3.0,779.0,1.1684999999999999,1517.0,9.102,3,15,15,2,0
76,601,360600,80,120.0,SOL-STATS,32.0,49104.0,73.65600000000002,10370.0,62.22000000000001,32,374,1230,341,259
77,598,357006,80,120.0,SOL-STATS,39.0,46284.0,69.426,12030.0,72.17999999999999,39,466,1235,313,266
78,593,351056,80,120.0,SOL-STATS,2.0,173.0,0.25950000000000006,718.0,4.308,2,13,13,1,0
79,542,293222,80,120.0,SOL-STATS,2.0,436.0,0.6539999999999999,946.0,5.676,2,11,11,1,0
7,65,4160,10,120.0,SOL-STATS,10.0,14404.0,21.606,4460.0,26.760000000000005,10,142,266,85,37
80,598,357006,80,120.0,SOL-STATS,1.0,418.0,0.6269999999999998,418.0,2.508,1,9,9,1,0
8,80,6320,10,120.0,SOL-STATS,10.0,16544.0,24.816,4492.0,26.952,10,168,424,132,116
9,70,4830,10,120.0,SOL-STATS,10.0,11553.0,17.329499999999996,4381.0,26.286,10,119,292,83,31
10,125,15500,10,120.0,SOL-STATS,10.0,54505.0,81.75750000000001,6127.0,36.762,10,248,1428,327,192
11,155,23870,15,120.0,SOL-STATS,14.0,55780.0,83.66999999999999,5800.0,34.800000000000004,14,208,1465,511,72
12,138,18906,15,120.0,SOL-STATS,15.0,52547.0,78.82050000000001,7202.0,43.212,15,267,1426,419,195
13,256,65280,15,120.0,SOL-STATS,15.0,54972.0,82.458,7775.0,46.65,15,487,1689,353,117
14,257,65792,15,120.0,SOL-STATS,13.0,59281.0,88.92150000000001,5537.0,33.222,13,315,1624,312,236
15,170,28730,15,120.0,SOL-STATS,15.0,59389.0,89.0835,6069.0,36.414,15,298,1601,477,201
16,200,39800,20,120.0,SOL-STATS,19.0,58029.0,87.04350000000001,6302.0,37.812,19,428,1724,364,267
17,215,46010,20,120.0,SOL-STATS,20.0,49158.0,73.73700000000001,7481.0,44.885999999999996,20,425,1351,356,131
18,158,24806,20,120.0,SOL-STATS,20.0,48811.0,73.21650000000002,9384.0,56.304,20,301,1280,259,104
19,192,36672,20,120.0,SOL-STATS,19.0,48188.0,72.28200000000001,9187.0,55.12200000000001,19,319,1198,229,99
1,25,600,5,120.0,SOL-STATS,5.0,14812.0,22.218,1207.0,7.242,5,39,403,57,1
20,169,28392,20,120.0,SOL-STATS,19.0,53328.0,79.992,7656.0,45.93600000000001,19,299,1407,241,96
21,228,51756,25,120.0,SOL-STATS,22.0,47306.0,70.959,9758.0,58.548,22,338,1165,271,180
22,330,108570,25,120.0,SOL-STATS,23.0,49885.0,74.82749999999999,9357.0,56.141999999999996,23,419,1305,288,102
23,257,65792,25,120.0,SOL-STATS,22.0,49521.0,74.28150000000002,8945.0,53.669999999999995,22,371,1293,278,83
24,282,79242,25,120.0,SOL-STATS,23.0,45513.0,68.26950000000002,10098.0,60.588,23,404,1189,166,90
25,247,60762,25,120.0,SOL-STATS,23.0,49362.0,74.043,9153.0,54.918000000000006,23,417,1279,242,141
26,343,117306,30,120.0,SOL-STATS,25.0,41283.0,61.924499999999995,11258.0,67.548,25,420,1011,198,126
27,285,80940,30,120.0,SOL-STATS,28.0,35878.0,53.81700000000001,11897.0,71.382,28,427,951,192,111
28,320,102080,30,120.0,SOL-STATS,22.0,49330.0,73.995,9001.0,54.00600000000001,22,384,1555,263,181
29,612,373932,30,120.0,SOL-STATS,25.0,47609.0,71.4135,9515.0,57.09,25,346,1141,256,163
2,55,2970,5,120.0,SOL-STATS,5.0,21996.0,32.994,2657.0,15.942,5,76,590,236,73
30,297,87912,30,120.0,SOL-STATS,23.0,36796.0,55.193999999999996,8947.0,53.68200000000001,23,403,906,198,127
31,374,139502,35,120.0,SOL-STATS,24.0,52340.0,78.50999999999999,8554.0,51.324000000000005,24,393,1480,264,81
32,349,121452,35,120.0,SOL-STATS,22.0,52696.0,79.04400000000001,8686.0,52.11599999999999,22,444,1558,288,170
33,340,115260,35,120.0,SOL-STATS,19.0,61488.0,92.23199999999999,6038.0,36.227999999999994,19,391,1919,477,205
34,626,391250,35,120.0,SOL-STATS,22.0,53549.0,80.3235,8554.0,51.324000000000005,22,364,1616,273,146
35,279,77562,35,120.0,SOL-STATS,31.0,39514.0,59.271,12470.0,74.81999999999998,31,370,875,189,98
36,397,157212,40,120.0,SOL-STATS,21.0,60421.0,90.63150000000002,6491.0,38.946000000000005,21,342,1792,599,414
37,510,259590,40,120.0,SOL-STATS,4.0,3515.0,5.272500000000001,1833.0,10.998000000000001,4,46,66,17,2
38,488,237656,40,120.0,SOL-STATS,33.0,46633.0,69.94949999999999,10708.0,64.248,33,435,1179,281,173
39,422,177662,40,120.0,SOL-STATS,8.0,13319.0,19.978499999999997,2515.0,15.090000000000002,8,98,342,62,23
3,45,1980,5,120.0,SOL-STATS,5.0,67309.0,100.96350000000001,1338.0,8.028,5,79,1839,416,416
40,439,192282,40,120.0,SOL-STATS,2.0,338.0,0.5069999999999997,784.0,4.704000000000001,2,14,14,1,0
41,438,191406,45,120.0,SOL-STATS,1.0,499.0,0.7484999999999999,499.0,2.994,1,9,9,1,0
42,385,147840,45,120.0,SOL-STATS,19.0,64468.0,96.70200000000001,5048.0,30.287999999999997,19,326,1836,701,180
43,380,144020,45,120.0,SOL-STATS,26.0,44083.0,66.1245,10837.0,65.022,26,332,1030,217,119
44,505,254520,45,120.0,SOL-STATS,1.0,985.0,1.4775,985.0,5.91,1,26,26,8,0
45,533,283556,45,120.0,SOL-STATS,2.0,1003.0,1.5045000000000002,1003.0,6.018,2,26,26,1,0
46,764,582932,50,120.0,SOL-STATS,2.0,1288.0,1.9320000000000004,765.0,4.59,2,17,31,3,1
47,452,203852,50,120.0,SOL-STATS,21.0,66099.0,99.14850000000001,5025.0,30.150000000000002,21,258,1896,573,382
48,777,602952,50,120.0,SOL-STATS,2.0,1870.0,2.8049999999999997,804.0,4.824,2,19,40,4,0
49,416,172640,50,120.0,SOL-STATS,2.0,605.0,0.9074999999999998,1074.0,6.444000000000001,2,21,21,1,0
4,51,2550,5,120.0,SOL-STATS,5.0,25663.0,38.4945,2573.0,15.438000000000002,5,78,680,29,10
50,447,199362,50,120.0,SOL-STATS,4.0,1514.0,2.271000000000001,2058.0,12.348000000000003,4,14,14,3,0
51,724,523452,55,120.0,SOL-STATS,1.0,100.0,0.15000000000000002,100.0,0.6000000000000001,1,6,6,1,0
52,528,278256,55,120.0,SOL-STATS,5.0,7952.0,11.928,2105.0,12.629999999999999,5,43,167,46,13
53,640,408960,55,120.0,SOL-STATS,1.0,418.0,0.6269999999999998,418.0,2.508,1,23,23,9,0
54,466,216690,55,120.0,SOL-STATS,4.0,5663.0,8.4945,1634.0,9.804,4,44,142,38,2
55,519,268842,55,120.0,SOL-STATS,2.0,1117.0,1.6755,354.0,2.124,2,10,21,2,0
56,572,326612,60,120.0,SOL-STATS,6.0,5477.0,8.215499999999999,2183.0,13.097999999999999,6,44,112,11,3
57,569,323192,60,120.0,SOL-STATS,5.0,3878.0,5.817,1638.0,9.828,5,40,70,14,6
58,788,620156,60,120.0,SOL-STATS,1.0,326.0,0.4890000000000001,326.0,1.9560000000000002,1,5,5,1,0
59,536,286760,60,120.0,SOL-STATS,2.0,507.0,0.7605,86.0,0.516,2,16,23,5,1
60,582,338142,60,120.0,SOL-STATS,2.0,1113.0,1.6694999999999998,350.0,2.1,2,11,22,2,0
61,650,421850,65,120.0,SOL-STATS,7.0,4761.0,7.141500000000001,2773.0,16.638,7,55,94,29,4
62,690,475410,65,120.0,SOL-STATS,1.0,822.0,1.2330000000000005,822.0,4.932,1,29,29,10,0
63,834,694722,65,120.0,SOL-STATS,2.0,1305.0,1.9574999999999996,923.0,5.538,2,20,41,2,0
64,562,315282,65,120.0,SOL-STATS,1.0,452.0,0.6779999999999999,452.0,2.712,1,22,22,1,0
65,694,480942,65,120.0,SOL-STATS,1.0,641.0,0.9615,641.0,3.846,1,20,20,1,0
66,675,454950,70,120.0,SOL-STATS,3.0,2173.0,3.2595,632.0,3.792,3,33,61,19,3
67,786,617010,70,120.0,SOL-STATS,2.0,5936.0,8.903999999999996,6110.0,36.66,2,173,173,26,0
68,979,957462,70,120.0,SOL-STATS,1.0,626.0,0.9390000000000001,626.0,3.7560000000000002,1,32,32,1,0
69,856,731880,70,120.0,SOL-STATS,1.0,698.0,1.0470000000000006,698.0,4.188000000000001,1,11,11,1,0
70,713,507656,70,120.0,SOL-STATS,2.0,1030.0,1.545,722.0,4.332000000000001,2,20,20,6,2
