instance,|V|,|A|,|B|,T,model,cost,meters,tourMinutes,blocksMeters,blocksMinutes,numVisitedBlocks,numVisitedNodes,numOriginalVisitedNodes,numRepeatedNodes,numRepeatedArcs,Components,ComponentsSelection,Profits,Algorithm
72,524,274052,75,120,SOL-STATS,56,5708,8.562,7836,47.016,15,73,81,15,8,single,random,random,IP
73,583,339306,75,120,SOL-STATS,8,489,0.7335,979,5.874,2,13,13,1,0,single,random,random,IP
74,598,357006,75,120,SOL-STATS,12,719,1.0785,719,4.314,2,11,11,2,0,single,random,random,IP
75,552,304152,75,120,SOL-STATS,7,744,1.116,744,4.464,1,5,5,1,0,single,random,random,IP
76,601,360600,80,120,SOL-STATS,150,52703,79.0545,9167,55.002,28,455,1315,317,276,single,random,random,IP
77,598,357006,80,120,SOL-STATS,18,2751,4.1265,3360,20.16,5,76,76,17,1,single,random,random,IP
78,593,351056,80,120,SOL-STATS,10,173,0.2595,718,4.308,2,13,13,1,0,single,random,random,IP
79,542,293222,80,120,SOL-STATS,6,436,0.654,946,5.676,2,11,11,1,0,single,random,random,IP
7,65,4160,10,120,SOL-STATS,37,14404,21.606,4460,26.76,10,142,266,85,37,single,random,random,IP
80,598,357006,80,120,SOL-STATS,161,50885,76.3275,9601,57.606,29,457,1294,312,270,single,random,random,IP
8,80,6320,10,120,SOL-STATS,38,16544,24.816,4492,26.952,10,168,424,132,116,single,random,random,IP
9,70,4830,10,120,SOL-STATS,36,11553,17.3295,4381,26.286,10,119,292,83,31,single,random,random,IP
10,125,15500,10,120,SOL-STATS,37,54505,81.7575,6127,36.762,10,248,1428,327,192,single,random,random,IP
11,155,23870,15,120,SOL-STATS,63,53399,80.0985,6596,39.576,14,264,1400,407,80,multiple,random,random,IP
12,138,18906,15,120,SOL-STATS,59,53702,80.553,7202,43.212,15,307,1503,551,191,multiple,random,random,IP
13,256,65280,15,120,SOL-STATS,62,56608,84.912,6995,41.97,14,474,1919,396,350,multiple,random,random,IP
14,257,65792,15,120,SOL-STATS,65,58522,87.783,5823,34.938,12,335,1690,432,294,multiple,random,random,IP
15,170,28730,15,120,SOL-STATS,60,55858,83.787,6069,36.414,15,341,1552,419,107,multiple,random,random,IP
16,200,39800,20,120,SOL-STATS,88,53976,80.964,6820,40.92,20,359,1580,431,197,multiple,random,random,IP
17,215,46010,20,120,SOL-STATS,80,49158,73.737,7481,44.886,20,425,1351,356,131,multiple,random,random,IP
